register,user,title,year,score,users_rating,votes,metascore,codirector,director,cogenre,genre,mainactor,secactor,seclanguage,vose,country,seccountry
0,emigraloz8@hotmail.com,The Shootist,1976,,7.6,21391,77,,Don Siegel,Romance,Drama,John Wayne,Lauren Bacall,,English,USA,
1,zaibelgar033755@digi.com,Frida,2002,,7.4,78595,61,,Julie Taymor,Drama,Biography,Salma Hayek,Mía Maestro,French,English,Mexico,USA
2,aguherbas3716@gmail.com,Hesher,2010,,7.0,49832,45,,Spencer Susser,Crime,Comedy,Joseph Gordon-Levitt,Devin Brochu,,English,USA,
3,hercamare50@vodafone.com ,The Dog Lover,2016,,5.5,671,35,,Alex Ranarivelo,,Drama,James Remar,Lea Thompson,,English,USA,
4,alifenvel96289@vodafone.com ,Cold Creek Manor,2003,,5.0,20632,37,,Mike Figgis,Mystery,Drama,Dennis Quaid,Sharon Stone,,English,USA,Canada
6,josciclir66828@movistar.com,Just Visiting,2001,,5.8,17966,38,,Jean-Marie Poiré,Fantasy,Comedy,Jean Reno,Christina Applegate,French,English,France,USA
7,julcarbad6@jazztel.com,Serenity,2005,2.0,7.8,32119,74,,Joss Whedon,Adventure,Action,Nathan Fillion,Gina Torres,Mandarin,English,USA,
8,isademiq051102@vodafone.com ,I Melt with You,2011,,6.0,5702,26,,Mark Pellington,,Drama,Thomas Jane,Jeremy Piven,,English,USA,
9,mimguarez39608@orange.com,War Story,2014,,4.0,698,50,,Mark Jackson,,Drama,Catherine Keener,Hafsia Herzi,Italian,English,USA,
10,eleirssas26@gmail.com,The Ides of March,2011,8.0,7.100004252644909,211633,67,,George Clooney,Thriller,Drama,Ryan Gosling,George Clooney,,English,USA,
11,yolmalmac0@orange.com,The Book Thief,2013,,7.6,124332,53,,Brian Percival,War,Drama,Roger Allam,Sophie Nélisse,German,English,USA,Germany
12,yesbelhar0221@gmail.com,Spaceballs,1987,,7.1,166439,46,,Mel Brooks,Comedy,Adventure,Mel Brooks,John Candy,,English,USA,
13,estgubalz27234@gmail.com,The Day the Earth Stood Still,2008,,5.5,160613,40,,Scott Derrickson,Sci-Fi,Drama,Keanu Reeves,Jennifer Connelly,Mandarin,English,USA,Canada
14,juapraang011054@hotmail.com,Teen Wolf,1985,,6.1,44219,25,,Rod Daniel,Fantasy,Comedy,Michael J. Fox,James Hampton,,English,USA,
15,yihcarhol30408@gmail.com,Duane Hopwood,2005,,6.6,2198,53,,Matt Mulhern,Drama,Comedy,Daisy Ang,Bill Buell,,English,USA,
