_id,user,title,year,timestamp,completed,viewingtime,score
62aa3d1e6b166f143492232c,emigraloz8@hotmail.com,The Shootist,1976,1655323934,False,74,
62aa3d1f6b166f143492232d,zaibelgar033755@digi.com,Frida,2002,1655323935,False,44,
62aa3d1f6b166f143492232e,aguherbas3716@gmail.com,Hesher,2010,1655323935,False,40,
62aa3d1f6b166f143492232f,hercamare50@vodafone.com ,The Dog Lover,2016,1655323935,False,64,
62aa3d206b166f1434922330,alifenvel96289@vodafone.com ,Cold Creek Manor,2003,1655323936,False,22,
62aa3d206b166f1434922331,fedarrker26@jazztel.com,Aladdin,2019,1655323936,False,92,
62aa3d206b166f1434922332,josciclir66828@movistar.com,Just Visiting,2001,1655323936,False,32,
62aa3d216b166f1434922333,julcarbad6@jazztel.com,Serenity,2005,1655323937,True,98,2
62aa3d906b166f1434922334,isademiq051102@vodafone.com ,I Melt with You,2011,1655324048,False,54,
62aa3d916b166f1434922335,mimguarez39608@orange.com,War Story,2014,1655324049,False,30,
62aa3d916b166f1434922336,eleirssas26@gmail.com,The Ides of March,2011,1655324049,True,84,8
62aa3d926b166f1434922338,yolmalmac0@orange.com,The Book Thief,2013,1655324050,False,55,
62aa3d926b166f1434922339,yesbelhar0221@gmail.com,Spaceballs,1987,1655324050,False,25,
62aa3d926b166f143492233a,estgubalz27234@gmail.com,The Day the Earth Stood Still,2008,1655324050,False,81,
62aa3d936b166f143492233b,juapraang011054@hotmail.com,Teen Wolf,1985,1655324051,False,18,
62aa3d936b166f143492233c,yihcarhol30408@gmail.com,Duane Hopwood,2005,1655324051,False,59,
62aa3d936b166f143492233d,julzanbai012@hotmail.com,The Fits,2015,1655324051,False,17,
62aa3d946b166f143492233e,shuforfog38@orange.com,Telling Lies in America,1997,1655324052,False,75,
62aa3d946b166f143492233f,assaboshe7@vodafone.com ,Intolerance: Love's Struggle Throughout the Ages,1916,1655324052,False,111,
62aa3d946b166f1434922340,angabafah7@vodafone.com ,F/X2,1991,1655324052,False,68,
62aa3d956b166f1434922341,crileceng08@vodafone.com ,Assassin's Bullet,2012,1655324053,False,59,
62aa3d956b166f1434922342,emigraloz8@hotmail.com,Righteous Kill,2008,1655324053,False,67,
62aa3d956b166f1434922343,layprella7@vodafone.com ,Milk,2008,1655324053,False,97,
62aa3d966b166f1434922344,toldorral065@hotmail.com,Seberg,2019,1655324054,False,52,
62aa3d966b166f1434922345,verrocmat8819@digi.com,The Wings of the Dove,1997,1655324054,False,38,
62aa3d966b166f1434922346,levbouel8567@vodafone.com ,Angel Eyes,2001,1655324054,False,29,
62aa3d976b166f1434922347,josdasvig2879@orange.com,The Ring Two,2005,1655324055,True,105,9
